Sample_ID	JG_OTU	Group
ZDP_0056a	Zmm-LR-CFMO-Per-TAMB	ZMMLR
ZDP_0558a	Zmm-LR-CFPT-Per-ACOB	ZMMLR
ZDP_0593a	Zmm-LR-CFPT-Per-CARR	ZMMLR
ZDP_0551a	Zmm-LR-CFPT-Per-HUAY	ZMMLR
ZDP_0156a	Zmm-LR-CFPT-Per-JOSE	ZMMLR
ZDP_0272a	Zmm-LR-CFPT-Per-PABL	ZMMLR
ZDP_0132a	Zmm-LR-CFPU-Bol-POTO	ZMMLR
ZDP_1109a	Zmm-LR-CFPU-Per-1	ZMMLR
ZDP_1168a	Zmm-LR-CFPU-Per-2	ZMMLR
S1805	Zmm-LR-CFPU-Per-TORI-1	ZMMLR
ZDP_1078a	Zmm-LR-CFPU-Per-TORI-2	ZMMLR
ZDP_1105b	Zmm-LR-CFPU-Per-TORI-3	ZMMLR
ZDP_1163a	Zmm-LR-CFPU-Per-TORI-4	ZMMLR
ZDP_0998a	Zmm-LR-CHAD-Cub-HOLG	ZMMLR
ZDP_0262a	Zmm-LR-CHAD-Cub-MYRI_s	ZMMLR
ZDP_0544a	Zmm-LR-CHAD-Hai-CART	ZMMLR
ZDP_0513b	Zmm-LR-CHAD-Hai-PETI	ZMMLR
ZDP_0835a	Zmm-LR-CHAD-Ven-1	ZMMLR
ZDP_0855a	Zmm-LR-CHAD-Ven-2	ZMMLR
ZDP_0854a	Zmm-LR-CHAD-Ven-ARAG	ZMMLR
ZDP_0896b	Zmm-LR-CHAD-Ven-BOLI	ZMMLR
ZDP_0081a	Zmm-LR-CHAK-Bol-CHUQ-1	ZMMLR
ZDP_0125a	Zmm-LR-CHAK-Bol-CHUQ-2	ZMMLR
ZDP_0076a	Zmm-LR-CHAK-Bol-COCH-1	ZMMLR
ZDP_0078a	Zmm-LR-CHAK-Bol-COCH-2	ZMMLR
ZDP_0089a	Zmm-LR-CHAK-Bol-COCH-3	ZMMLR
ZDP_0507a	Zmm-LR-CHAL-Mex-ATLI	ZMMLR
ZDP_1077a	Zmm-LR-CHAL-Mex-CHAL	ZMMLR
ZDP_0632a	Zmm-LR-CHAL-Mex-CHOL	ZMMLR
ZDP_0871a	Zmm-LR-CHAL-Mex-OJOC	ZMMLR
ZDP_0625b	Zmm-LR-CHAL-Mex-RINC	ZMMLR
ZDP_0646a	Zmm-LR-CHAL-Mex-TEPO	ZMMLR
S1828	Zmm-LR-CHAL-Mex-TULT-1	ZMMLR
ZDP_1047b	Zmm-LR-CHAL-Mex-TULT-2	ZMMLR
ZDP_0981b	Zmm-LR-CHAP-Mex-ABAJ	ZMMLR
S1816	Zmm-LR-CHAP-Mex-AMEL-1	ZMMLR
ZDP_0964b	Zmm-LR-CHAP-Mex-AMEL-2	ZMMLR
ZDP_0969b	Zmm-LR-CHAP-Mex-CULI	ZMMLR
ZDP_0053a	Zmm-LR-CHAR-Per-MOLL	ZMMLR
ZDP_0359a	Zmm-LR-CHBL-Per-HUAC	ZMMLR
ZDP_0214a	Zmm-LR-CHCL-Chi-ACON	ZMMLR
ZDP_0192b	Zmm-LR-CHCL-Chi-LADO	ZMMLR
ZDP_0256a	Zmm-LR-CHCO-Col-INFI	ZMMLR
ZDP_0641a	Zmm-LR-CHCO-Col-LLOR	ZMMLR
ZDP_0252b	Zmm-LR-CHCO-Col-QUIB	ZMMLR
ZDP_0257a	Zmm-LR-CHCO-Col-RIOO	ZMMLR
ZDP_0254a	Zmm-LR-CHCO-Col-TADO	ZMMLR
ZDP_0285b	Zmm-LR-CHCO-Ecu-BORB	ZMMLR
S1803	Zmm-LR-CHCO-Ecu-ESME-1	ZMMLR
ZDP_0400a	Zmm-LR-CHCO-Ecu-ESME-2	ZMMLR
ZDP_0401a	Zmm-LR-CHCO-Ecu-ESME-3	ZMMLR
ZDP_1204b	Zmm-LR-CHCO-Ecu-ESME-4	ZMMLR
ZDP_1466a	Zmm-LR-CHCO-Ecu-ESME-5	ZMMLR
ZDP_0069a	Zmm-LR-CHEC-Bol	ZMMLR
ZDP_1026b	Zmm-LR-CHEC-Bol-COCH	ZMMLR
ZDP_0662b	Zmm-LR-CHER-usa-OK-1	ZMMLR
ZDP_0810a	Zmm-LR-CHER-usa-OK-2	ZMMLR
ZDP_0820a	Zmm-LR-CHER-usa-OK-3	ZMMLR
ZDP_0653b	Zmm-LR-CHEY-usa-OK-1	ZMMLR
ZDP_0788b	Zmm-LR-CHEY-usa-OK-2	ZMMLR
ZDP_0798a	Zmm-LR-CHEY-usa-OK-3	ZMMLR
ZDP_0354a	Zmm-LR-CHIL-Ecu	ZMMLR
ZDP_1444b	Zmm-LR-CHIL-Ecu-AMAH	ZMMLR
S1802	Zmm-LR-CHIL-Ecu-MERC-1	ZMMLR
ZDP_0311a	Zmm-LR-CHIL-Ecu-MERC-2	ZMMLR
ZDP_0627b	Zmm-LR-CHIL-Ecu-PICH	ZMMLR
ZDP_0277a	Zmm-LR-CHIM-Per-QUIL	ZMMLR
ZDP_0864b	Zmm-LR-CHIR-Ven-1	ZMMLR
ZDP_0885b	Zmm-LR-CHIR-Ven-2	ZMMLR
ZDP_0111a	Zmm-LR-CHOL-Bol-CUEV	ZMMLR
ZDP_0096a	Zmm-LR-CHOL-Bol-ELPA	ZMMLR
ZDP_0110a	Zmm-LR-CHOL-Bol-SANT	ZMMLR
ZDP_0095a	Zmm-LR-CHOL-Bol-YACU	ZMMLR
ZDP_0324b	Zmm-LR-CHOL-Ecu-ZAMO-1	ZMMLR
ZDP_0408a	Zmm-LR-CHOL-Ecu-ZAMO-2	ZMMLR
ZDP_0429a	Zmm-LR-CHOL-Ecu-ZAMO-3	ZMMLR
ZDP_0347b	Zmm-LR-CHPI-Per-HUAC-1_s	ZMMLR
ZDP_0369b	Zmm-LR-CHPI-Per-HUAC-2	ZMMLR
ZDP_0299a	Zmm-LR-CHUC-Ecu-TABA	ZMMLR
S1804	Zmm-LR-CHUL-Per-ACOR-1	ZMMLR
ZDP_0617a	Zmm-LR-CHUL-Per-ACOR-2	ZMMLR
ZDP_0546a	Zmm-LR-CHUL-Per-COLC	ZMMLR
ZDP_1206b	Zmm-LR-CHUL-Per-HUAN-1	ZMMLR
ZDP_1487b	Zmm-LR-CHUL-Per-HUAN-2	ZMMLR
ZDP_0596a	Zmm-LR-CHUL-Per-PAMP	ZMMLR
ZDP_0472a	Zmm-LR-CHUN-Per-CHAG	ZMMLR
ZDP_0279a	Zmm-LR-CHUN-Per-HUAD	ZMMLR
ZDP_1016a	Zmm-LR-CHUN-Per-HUAY	ZMMLR
ZDP_0278a	Zmm-LR-CHUN-Per-QUIL	ZMMLR
ZDP_0044a	Zmm-LR-CHUP-Arg-HUMA	ZMMLR
ZDP_0218a	Zmm-LR-CHUP-Chi-TARA-1	ZMMLR
ZDP_0220a	Zmm-LR-CHUP-Chi-TARA-2	ZMMLR
ZDP_0418a	Zmm-LR-CHUP-Ecu-IMBA-1	ZMMLR
ZDP_0556a	Zmm-LR-CHUP-Ecu-IMBA-2	ZMMLR
ZDP_0355a	Zmm-LR-CHUP-Ecu-PUEM	ZMMLR
ZDP_1018a	Zmm-LR-CHUS-Bol-CHUQ	ZMMLR
ZDP_1001a	Zmm-LR-CHUS-Bol-COCH-1	ZMMLR
ZDP_1002b	Zmm-LR-CHUS-Bol-COCH-2	ZMMLR
ZDP_1045a	Zmm-LR-CHUT-Chi-ANTO	ZMMLR
ZDP_0411a	Zmm-LR-CLAT-Ecu-TUNG-1	ZMMLR
ZDP_0421a	Zmm-LR-CLAT-Ecu-TUNG-2	ZMMLR
ZDP_0330b	Zmm-LR-CLAT-Ecu-VERD	ZMMLR
ZDP_0253a	Zmm-LR-CLAV-Col-CARM	ZMMLR
ZDP_0352a	Zmm-LR-CLAV-Col-PAST	ZMMLR
ZDP_0975a	Zmm-LR-CLAV-Col-TOLE	ZMMLR
ZDP_0343a	Zmm-LR-CNGG-Ecu-CALA	ZMMLR
ZDP_0342a	Zmm-LR-CNGG-Ecu-CUSU	ZMMLR
ZDP_0332b	Zmm-LR-CNGG-Ecu-TABA	ZMMLR
ZDP_0984a	Zmm-LR-COCH-Arg-1	ZMMLR
ZDP_0992a	Zmm-LR-COCH-Arg-2	ZMMLR
ZDP_0913b	Zmm-LR-COCH-Uru	ZMMLR
ZDP_0731b	Zmm-LR-COCP-usa-NM-1	ZMMLR
ZDP_0792a	Zmm-LR-COCP-usa-NM-2_s	ZMMLR
ZDP_0663b	Zmm-LR-COLO-usa-CO-1	ZMMLR
ZDP_0673b	Zmm-LR-COLO-usa-CO-2	ZMMLR
ZDP_0682b	Zmm-LR-COLO-usa-CO-3	ZMMLR
ZDP_0510b	Zmm-LR-COMI-Gua-CANT	ZMMLR
ZDP_0518a	Zmm-LR-COMI-Gua-COLO	ZMMLR
ZDP_0489a	Zmm-LR-COMI-Gua-MIXC	ZMMLR
ZDP_0460a	Zmm-LR-COMI-Gua-ROSA	ZMMLR
ZDP_1094b	Zmm-LR-COMI-Mex-COMI	ZMMLR
ZDP_0248a	Zmm-LR-COMI-Mex-FINC	ZMMLR
ZDP_0229a	Zmm-LR-COMI-Mex-JERO	ZMMLR
ZDP_0230b	Zmm-LR-COMI-Mex-RETI	ZMMLR
ZDP_1023a	Zmm-LR-COMI-Mex-RITA	ZMMLR
ZDP_0160b	Zmm-LR-COMU-Col-CALA	ZMMLR
ZDP_0167a	Zmm-LR-COMU-Col-ROSA	ZMMLR
ZDP_0832a	Zmm-LR-COMU-Col-VERS	ZMMLR
ZDP_0894b	Zmm-LR-COMU-Col-VIJE	ZMMLR
ZDP_0886b	Zmm-LR-COMU-Ven-LARA-1	ZMMLR
ZDP_0908a	Zmm-LR-COMU-Ven-LARA-2	ZMMLR
ZDP_0808a	Zmm-LR-COMU-Ven-LJAB	ZMMLR
ZDP_0853b	Zmm-LR-COMU-Ven-PANT	ZMMLR
ZDP_0365b	Zmm-LR-COND-Ecu-GUAL	ZMMLR
ZDP_0999a	Zmm-LR-COND-Ecu-NANE	ZMMLR
S1484	Zmm-LR-CONE-Mex-JERO-1	ZMMLR
ZDP_0412a	Zmm-LR-CONE-Mex-JERO-2	ZMMLR
ZDP_0422a	Zmm-LR-CONE-Mex-MURG	ZMMLR
ZDP_0433a	Zmm-LR-CONE-Mex-TREI	ZMMLR
ZDP_0402a	Zmm-LR-CONE-Mex-ZACU	ZMMLR
S1829	Zmm-LR-CONI-Mex-ACAT-1	ZMMLR
ZDP_0528a	Zmm-LR-CONI-Mex-ACAT-2	ZMMLR
ZDP_0649a	Zmm-LR-CONI-Mex-IXTL	ZMMLR
S1207	Zmm-LR-CONI-Mex-RANG-1	ZMMLR
ZDP_0629a	Zmm-LR-CONI-Mex-RANG-2	ZMMLR
ZDP_0308a	Zmm-LR-CONI-Mex-TLAC	ZMMLR
ZDP_1074a	Zmm-LR-CONI-Mex-TOLU	ZMMLR
ZDP_1096a	Zmm-LR-CONN-Mex-CERR	ZMMLR
ZDP_0434a	Zmm-LR-CONN-Mex-JARA	ZMMLR
ZDP_0380a	Zmm-LR-CONN-Mex-JICO	ZMMLR
ZDP_1112a	Zmm-LR-CONN-Mex-JUAN-1	ZMMLR
